date_local,day_of_week,is_holiday,is_federal_holiday,is_event,is_holiday_and_event,is_special_day,holiday_name,event_name
2024-01-01,Monday,True,True,True,True,True,New Year's Day,New Year's Day celebrations
2024-01-02,Tuesday,False,False,False,False,False,,
2024-01-03,Wednesday,False,False,False,False,False,,
2024-01-04,Thursday,False,False,False,False,False,,
2024-01-05,Friday,False,False,False,False,False,,
2024-01-06,Saturday,False,False,False,False,False,,
2024-01-07,Sunday,False,False,False,False,False,,
2024-01-08,Monday,False,False,False,False,False,,
2024-01-09,Tuesday,False,False,False,False,False,,
2024-01-10,Wednesday,False,False,False,False,False,,
2024-01-11,Thursday,False,False,False,False,False,,
2024-01-12,Friday,False,False,False,False,False,,
2024-01-13,Saturday,False,False,False,False,False,,
2024-01-14,Sunday,False,False,False,False,False,,
2024-01-15,Monday,True,True,False,False,True,Martin Luther King Jr. Day,
2024-01-16,Tuesday,False,False,False,False,False,,
2024-01-17,Wednesday,False,False,False,False,False,,
2024-01-18,Thursday,False,False,False,False,False,,
2024-01-19,Friday,False,False,False,False,False,,
2024-01-20,Saturday,False,False,False,False,False,,
2024-01-21,Sunday,False,False,False,False,False,,
2024-01-22,Monday,False,False,False,False,False,,
2024-01-23,Tuesday,False,False,False,False,False,,
2024-01-24,Wednesday,False,False,False,False,False,,
2024-01-25,Thursday,False,False,False,False,False,,
2024-01-26,Friday,False,False,False,False,False,,
2024-01-27,Saturday,False,False,False,False,False,,
2024-01-28,Sunday,False,False,False,False,False,,
2024-01-29,Monday,False,False,False,False,False,,
2024-01-30,Tuesday,False,False,False,False,False,,
2024-01-31,Wednesday,False,False,False,False,False,,
2024-02-01,Thursday,False,False,False,False,False,,
2024-02-02,Friday,False,False,False,False,False,,
2024-02-03,Saturday,False,False,False,False,False,,
2024-02-04,Sunday,False,False,False,False,False,,
2024-02-05,Monday,False,False,False,False,False,,
2024-02-06,Tuesday,False,False,False,False,False,,
2024-02-07,Wednesday,False,False,False,False,False,,
2024-02-08,Thursday,False,False,False,False,False,,
2024-02-09,Friday,False,False,False,False,False,,
2024-02-10,Saturday,False,False,False,False,False,,
2024-02-11,Sunday,False,False,True,False,True,,Super Bowl LVIII
2024-02-12,Monday,True,False,False,False,True,Lincoln's Birthday,
2024-02-13,Tuesday,False,False,False,False,False,,
2024-02-14,Wednesday,False,False,False,False,False,,
2024-02-15,Thursday,True,False,False,False,True,Susan B. Anthony Day,
2024-02-16,Friday,False,False,False,False,False,,
2024-02-17,Saturday,False,False,False,False,False,,
2024-02-18,Sunday,False,False,False,False,False,,
2024-02-19,Monday,True,True,False,False,True,Washington's Birthday,
2024-02-20,Tuesday,False,False,False,False,False,,
2024-02-21,Wednesday,False,False,False,False,False,,
2024-02-22,Thursday,False,False,False,False,False,,
2024-02-23,Friday,False,False,False,False,False,,
2024-02-24,Saturday,False,False,False,False,False,,
2024-02-25,Sunday,False,False,False,False,False,,
2024-02-26,Monday,False,False,False,False,False,,
2024-02-27,Tuesday,False,False,False,False,False,,
2024-02-28,Wednesday,False,False,False,False,False,,
2024-02-29,Thursday,False,False,False,False,False,,
2024-03-01,Friday,False,False,False,False,False,,
2024-03-02,Saturday,False,False,False,False,False,,
2024-03-03,Sunday,False,False,False,False,False,,
2024-03-04,Monday,False,False,False,False,False,,
2024-03-05,Tuesday,False,False,False,False,False,,
2024-03-06,Wednesday,False,False,False,False,False,,
2024-03-07,Thursday,False,False,False,False,False,,
2024-03-08,Friday,False,False,False,False,False,,
2024-03-09,Saturday,False,False,False,False,False,,
2024-03-10,Sunday,False,False,False,False,False,,
2024-03-11,Monday,False,False,False,False,False,,
2024-03-12,Tuesday,False,False,False,False,False,,
2024-03-13,Wednesday,False,False,False,False,False,,
2024-03-14,Thursday,False,False,False,False,False,,
2024-03-15,Friday,False,False,False,False,False,,
2024-03-16,Saturday,False,False,True,False,True,,St. Patrick's Day Parade
2024-03-17,Sunday,False,False,True,False,True,,St. Patrick's Day
2024-03-18,Monday,False,False,False,False,False,,
2024-03-19,Tuesday,False,False,False,False,False,,
2024-03-20,Wednesday,False,False,False,False,False,,
2024-03-21,Thursday,False,False,False,False,False,,
2024-03-22,Friday,False,False,False,False,False,,
2024-03-23,Saturday,False,False,False,False,False,,
2024-03-24,Sunday,False,False,False,False,False,,
2024-03-25,Monday,False,False,False,False,False,,
2024-03-26,Tuesday,False,False,False,False,False,,
2024-03-27,Wednesday,False,False,False,False,False,,
2024-03-28,Thursday,False,False,False,False,False,,
2024-03-29,Friday,False,False,False,False,False,,
2024-03-30,Saturday,False,False,False,False,False,,
2024-03-31,Sunday,False,False,False,False,False,,
2024-04-01,Monday,False,False,False,False,False,,
2024-04-02,Tuesday,False,False,False,False,False,,
2024-04-03,Wednesday,False,False,False,False,False,,
2024-04-04,Thursday,False,False,False,False,False,,
2024-04-05,Friday,False,False,False,False,False,,
2024-04-06,Saturday,False,False,False,False,False,,
2024-04-07,Sunday,False,False,False,False,False,,
2024-04-08,Monday,False,False,True,False,True,,Solar eclipse
2024-04-09,Tuesday,False,False,False,False,False,,
2024-04-10,Wednesday,False,False,False,False,False,,
2024-04-11,Thursday,False,False,False,False,False,,
2024-04-12,Friday,False,False,False,False,False,,
2024-04-13,Saturday,False,False,False,False,False,,
2024-04-14,Sunday,False,False,False,False,False,,
2024-04-15,Monday,False,False,False,False,False,,
2024-04-16,Tuesday,False,False,False,False,False,,
2024-04-17,Wednesday,False,False,False,False,False,,
2024-04-18,Thursday,False,False,False,False,False,,
2024-04-19,Friday,False,False,False,False,False,,
2024-04-20,Saturday,False,False,False,False,False,,
2024-04-21,Sunday,False,False,False,False,False,,
2024-04-22,Monday,False,False,False,False,False,,
2024-04-23,Tuesday,False,False,False,False,False,,
2024-04-24,Wednesday,False,False,False,False,False,,
2024-04-25,Thursday,False,False,False,False,False,,
2024-04-26,Friday,False,False,False,False,False,,
2024-04-27,Saturday,False,False,False,False,False,,
2024-04-28,Sunday,False,False,False,False,False,,
2024-04-29,Monday,False,False,False,False,False,,
2024-04-30,Tuesday,False,False,False,False,False,,
2024-05-01,Wednesday,False,False,False,False,False,,
2024-05-02,Thursday,False,False,False,False,False,,
2024-05-03,Friday,False,False,False,False,False,,
2024-05-04,Saturday,False,False,False,False,False,,
2024-05-05,Sunday,False,False,False,False,False,,
2024-05-06,Monday,False,False,False,False,False,,
2024-05-07,Tuesday,False,False,False,False,False,,
2024-05-08,Wednesday,False,False,False,False,False,,
2024-05-09,Thursday,False,False,False,False,False,,
2024-05-10,Friday,False,False,False,False,False,,
2024-05-11,Saturday,False,False,False,False,False,,
2024-05-12,Sunday,False,False,False,False,False,,
2024-05-13,Monday,False,False,False,False,False,,
2024-05-14,Tuesday,False,False,False,False,False,,
2024-05-15,Wednesday,False,False,False,False,False,,
2024-05-16,Thursday,False,False,False,False,False,,
2024-05-17,Friday,False,False,False,False,False,,
2024-05-18,Saturday,False,False,False,False,False,,
2024-05-19,Sunday,False,False,False,False,False,,
2024-05-20,Monday,False,False,False,False,False,,
2024-05-21,Tuesday,False,False,False,False,False,,
2024-05-22,Wednesday,False,False,False,False,False,,
2024-05-23,Thursday,False,False,False,False,False,,
2024-05-24,Friday,False,False,False,False,False,,
2024-05-25,Saturday,False,False,False,False,False,,
2024-05-26,Sunday,False,False,False,False,False,,
2024-05-27,Monday,True,True,False,False,True,Memorial Day,
2024-05-28,Tuesday,False,False,False,False,False,,
2024-05-29,Wednesday,False,False,False,False,False,,
2024-05-30,Thursday,False,False,False,False,False,,
2024-05-31,Friday,False,False,False,False,False,,
2024-06-01,Saturday,False,False,False,False,False,,
2024-06-02,Sunday,False,False,False,False,False,,
2024-06-03,Monday,False,False,False,False,False,,
2024-06-04,Tuesday,False,False,False,False,False,,
2024-06-05,Wednesday,False,False,False,False,False,,
2024-06-06,Thursday,False,False,False,False,False,,
2024-06-07,Friday,False,False,False,False,False,,
2024-06-08,Saturday,False,False,False,False,False,,
2024-06-09,Sunday,False,False,False,False,False,,
2024-06-10,Monday,False,False,False,False,False,,
2024-06-11,Tuesday,False,False,False,False,False,,
2024-06-12,Wednesday,False,False,False,False,False,,
2024-06-13,Thursday,False,False,False,False,False,,
2024-06-14,Friday,False,False,False,False,False,,
2024-06-15,Saturday,False,False,False,False,False,,
2024-06-16,Sunday,False,False,False,False,False,,
2024-06-17,Monday,False,False,False,False,False,,
2024-06-18,Tuesday,False,False,False,False,False,,
2024-06-19,Wednesday,True,True,False,False,True,Juneteenth National Independence Day,
2024-06-20,Thursday,False,False,False,False,False,,
2024-06-21,Friday,False,False,False,False,False,,
2024-06-22,Saturday,False,False,False,False,False,,
2024-06-23,Sunday,False,False,False,False,False,,
2024-06-24,Monday,False,False,False,False,False,,
2024-06-25,Tuesday,False,False,False,False,False,,
2024-06-26,Wednesday,False,False,False,False,False,,
2024-06-27,Thursday,False,False,False,False,False,,
2024-06-28,Friday,False,False,False,False,False,,
2024-06-29,Saturday,False,False,False,False,False,,
2024-06-30,Sunday,False,False,True,False,True,,NYC Pride March
2024-07-01,Monday,False,False,False,False,False,,
2024-07-02,Tuesday,False,False,False,False,False,,
2024-07-03,Wednesday,False,False,False,False,False,,
2024-07-04,Thursday,True,True,True,True,True,Independence Day,Independence Day fireworks
2024-07-05,Friday,False,False,False,False,False,,
2024-07-06,Saturday,False,False,False,False,False,,
2024-07-07,Sunday,False,False,False,False,False,,
2024-07-08,Monday,False,False,False,False,False,,
2024-07-09,Tuesday,False,False,False,False,False,,
2024-07-10,Wednesday,False,False,False,False,False,,
2024-07-11,Thursday,False,False,False,False,False,,
2024-07-12,Friday,False,False,False,False,False,,
2024-07-13,Saturday,False,False,False,False,False,,
2024-07-14,Sunday,False,False,False,False,False,,
2024-07-15,Monday,False,False,False,False,False,,
2024-07-16,Tuesday,False,False,False,False,False,,
2024-07-17,Wednesday,False,False,False,False,False,,
2024-07-18,Thursday,False,False,False,False,False,,
2024-07-19,Friday,False,False,False,False,False,,
2024-07-20,Saturday,False,False,False,False,False,,
2024-07-21,Sunday,False,False,False,False,False,,
2024-07-22,Monday,False,False,False,False,False,,
2024-07-23,Tuesday,False,False,False,False,False,,
2024-07-24,Wednesday,False,False,False,False,False,,
2024-07-25,Thursday,False,False,False,False,False,,
2024-07-26,Friday,False,False,False,False,False,,
2024-07-27,Saturday,False,False,False,False,False,,
2024-07-28,Sunday,False,False,False,False,False,,
2024-07-29,Monday,False,False,False,False,False,,
2024-07-30,Tuesday,False,False,False,False,False,,
2024-07-31,Wednesday,False,False,False,False,False,,
2024-08-01,Thursday,False,False,False,False,False,,
2024-08-02,Friday,False,False,False,False,False,,
2024-08-03,Saturday,False,False,False,False,False,,
2024-08-04,Sunday,False,False,False,False,False,,
2024-08-05,Monday,False,False,False,False,False,,
2024-08-06,Tuesday,False,False,False,False,False,,
2024-08-07,Wednesday,False,False,False,False,False,,
2024-08-08,Thursday,False,False,False,False,False,,
2024-08-09,Friday,False,False,False,False,False,,
2024-08-10,Saturday,False,False,False,False,False,,
2024-08-11,Sunday,False,False,False,False,False,,
2024-08-12,Monday,False,False,False,False,False,,
2024-08-13,Tuesday,False,False,False,False,False,,
2024-08-14,Wednesday,False,False,False,False,False,,
