learner,feature_set,subset,n,mae,rmse,wape,mape_nonzero,mean_pred
gbt,"time + events",all,399600,6.173266,21.808008,0.289392,0.525151,19.289356
gbt,"time + events",rain,12666,6.776195,23.856475,0.310954,0.529416,18.034965
gbt,"time + events",special,32400,7.240826,23.095012,0.458176,0.728569,16.701713
gbt,"time + weather",all,399600,6.176256,21.743743,0.289532,0.532119,19.486165
gbt,"time + weather",rain,12666,7.206556,24.347557,0.330703,0.603714,20.288586
gbt,"time + weather",special,32400,8.074944,26.811636,0.510957,0.759847,19.471123
gbt,"time + weather + events",all,399600,6.101366,21.340701,0.286021,0.531042,19.348372
gbt,"time + weather + events",rain,12666,6.819144,22.777611,0.312925,0.640051,19.409935
gbt,"time + weather + events",special,32400,7.231243,22.732068,0.457570,0.801304,17.579939
gbt,"time only",all,399600,6.269072,22.267483,0.293883,0.529568,19.395903
gbt,"time only",rain,12666,7.479764,25.491728,0.343240,0.582748,18.930883
gbt,"time only",special,32400,8.179513,27.153829,0.517573,0.767500,19.170755
hist_avg,"baseline",all,399600,5.436932,18.196461,0.254874,0.511756,19.398118
hist_avg,"baseline",rain,12666,6.803734,22.228598,0.312218,0.570533,18.988798
hist_avg,"baseline",special,32400,7.574006,26.190666,0.479259,0.743973,19.175660
linear,"time + events",all,399600,5.319001,17.489090,0.249345,0.512820,19.335552
linear,"time + events",rain,12666,6.331728,20.293505,0.290558,0.545456,18.581484
linear,"time + events",special,32400,6.749049,20.929319,0.427058,0.631141,16.872359
linear,"time + weather",all,399600,5.420246,18.193903,0.254091,0.542966,19.310355
linear,"time + weather",rain,12666,6.715793,22.062178,0.308182,0.603611,19.107552
linear,"time + weather",special,32400,7.583148,26.321360,0.479837,0.766875,19.111507
linear,"time + weather + events",all,399600,5.303011,17.480890,0.248596,0.537106,19.258247
linear,"time + weather + events",rain,12666,6.226480,20.027658,0.285728,0.564527,18.734115
linear,"time + weather + events",special,32400,6.727398,21.022261,0.425688,0.631002,16.807344
linear,"time only",all,399600,5.436932,18.196461,0.254874,0.511756,19.398118
linear,"time only",rain,12666,6.803734,22.228598,0.312218,0.570533,18.988798
linear,"time only",special,32400,7.574006,26.190666,0.479259,0.743973,19.175660
