variant,k,wcss,silhouette,min_cluster,max_cluster
raw,2,13770.825127,0.879664,30,195
raw,3,10842.554372,0.852754,10,191
raw,4,8074.157374,0.861078,5,186
raw,5,7973.000998,0.841396,1,186
raw,6,5574.535211,0.862779,1,186
raw,7,4501.807586,0.832783,1,180
raw,8,4773.498824,0.840743,1,186
raw,9,4026.124184,0.838330,1,184
raw,10,3330.643876,0.820964,1,178
raw,11,3136.516097,0.813269,1,178
raw,12,2725.544266,0.802436,1,175
normalized,2,29685.764164,0.333534,108,117
normalized,3,26199.096771,0.319473,60,95
normalized,4,25065.758240,0.246826,36,69
normalized,5,22985.281930,0.250604,15,66
normalized,6,23787.142995,0.156452,1,83
normalized,7,21879.192562,0.240434,1,85
normalized,8,22241.792440,0.165591,1,68
normalized,9,21112.214882,0.192054,1,82
normalized,10,20344.053818,0.210465,1,64
normalized,11,20172.911840,0.166062,1,44
normalized,12,18824.582888,0.170709,1,43
